0,sexe,Homme,age,31,Pareil,kɥɥ,Gagner,,Toujours,wlɔɛ,Envoyer,kɥw∫,Chanter,ɔ̃ãi,Tranquille,pibtbãɛ̃ɔ,Disparaître,lwɛoɥ,Glisser,ʒkɥ∫ʁwɛoeøgŋōēɲsvszanm,Cesser,uœmɲēōøōŋɲzanm,Ombre,ʒkoɥ,Travailler,wɛɔl,Heure,yãɛ̃jlɔ,Peur,ʒkɥoeø,Difficile,ɔ̃ityjdxl,Boîte,oegøōŋɲēœmnu,Bleu,,Choisir,,Merci,,Espèce,,Français,,Sauver,,Voix,,
1,sexe,Femme,age,25,Voix,∫ɥwʁxl,Choisir,∫ɥw,Disparaître,lɔɛw,Gagner,,Bleu,,Tranquille,,Merci,,Espèce,,Pareil,,Cesser,,Boîte,,Glisser,,Français,,Sauver,,Toujours,,Ombre,,Heure,,Difficile,,Envoyer,,Chanter,,Travailler,,Peur,,
2,sexe,Autre,age,89,Voix,∫ɥwʁxl,Choisir,∫ɥw,Disparaître,lɔɛw,Gagner,,Bleu,,Tranquille,,Merci,,Espèce,,Pareil,,Cesser,,Boîte,,Glisser,,Français,,Sauver,,Toujours,,Ombre,,Heure,,Difficile,,Envoyer,,Chanter,,Travailler,,Peur,,
3,sexe,Autre,age,89,Voix,∫ɥwʁxl,Choisir,∫ɥw,Disparaître,lɔɛw,Gagner,,Bleu,,Tranquille,,Merci,,Espèce,,Pareil,,Cesser,,Boîte,,Glisser,,Français,,Sauver,,Toujours,,Ombre,,Heure,,Difficile,,Envoyer,,Chanter,,Travailler,,Peur,,
4,sexe,Autre,age,89,Voix,∫ɥwʁxl,Choisir,∫ɥw,Disparaître,lɔɛw,Gagner,,Bleu,,Tranquille,,Merci,,Espèce,,Pareil,,Cesser,,Boîte,,Glisser,,Français,,Sauver,,Toujours,,Ombre,,Heure,,Difficile,,Envoyer,,Chanter,,Travailler,,Peur,,
5,sexe,Autre,age,89,Voix,∫ɥwʁxl,Choisir,∫ɥw,Disparaître,lɔɛw,Gagner,,Bleu,,Tranquille,,Merci,,Espèce,,Pareil,,Cesser,,Boîte,,Glisser,,Français,,Sauver,,Toujours,,Ombre,,Heure,,Difficile,,Envoyer,,Chanter,,Travailler,,Peur,,
6,sexe,Autre,age,89,Voix,∫ɥwʁxl,Choisir,∫ɥw,Disparaître,lɔɛw,Gagner,,Bleu,,Tranquille,,Merci,,Espèce,,Pareil,,Cesser,,Boîte,,Glisser,,Français,,Sauver,,Toujours,,Ombre,,Heure,,Difficile,,Envoyer,,Chanter,,Travailler,,Peur,,
7,sexe,Homme,age,25,Pareil,ʒɥw,Tranquille,ʒ∫ɥg,Heure,ɥk,Travailler,,Bleu,,Merci,,Choisir,,Peur,,Ombre,,Glisser,,Disparaître,,Sauver,,Toujours,,Difficile,,Français,,Chanter,,Gagner,,Voix,,Cesser,,Boîte,,Espèce,,Envoyer,,
8,sexe,Autre,age,89,Voix,∫ɥwʁxl,Choisir,∫ɥw,Disparaître,lɔɛw,Gagner,,Bleu,,Tranquille,,Merci,,Espèce,,Pareil,,Cesser,,Boîte,,Glisser,,Français,,Sauver,,Toujours,,Ombre,,Heure,,Difficile,,Envoyer,,Chanter,,Travailler,,Peur,,
9,sexe,Autre,age,25,Travailler,∫ɥwʁxl,Chanter,∫ɥw,Difficile,ʒkɥ,Boîte,gkɥw,Sauver,,Choisir,,Peur,,Espèce,,Bleu,,Tranquille,,Disparaître,,Cesser,,Toujours,,Merci,,Français,,Glisser,,Gagner,,Envoyer,,Pareil,,Voix,,Ombre,,Heure,,
10,sexe,Autre,age,25,Travailler,∫ɥwʁxl,Chanter,∫ɥw,Difficile,ʒkɥ,Boîte,gkɥw,Sauver,,Choisir,,Peur,,Espèce,,Bleu,,Tranquille,,Disparaître,,Cesser,,Toujours,,Merci,,Français,,Glisser,,Gagner,,Envoyer,,Pareil,,Voix,,Ombre,,Heure,,
11,sexe,Autre,age,25,Travailler,∫ɥwʁxl,Chanter,∫ɥw,Difficile,ʒkɥ,Boîte,gkɥw,Sauver,,Choisir,,Peur,,Espèce,,Bleu,,Tranquille,,Disparaître,,Cesser,,Toujours,,Merci,,Français,,Glisser,,Gagner,,Envoyer,,Pareil,,Voix,,Ombre,,Heure,,
12,sexe,Homme,age,25,Pareil,ʒɥw,Tranquille,ʒ∫ɥg,Heure,ɥk,Travailler,,Bleu,,Merci,,Choisir,,Peur,,Ombre,,Glisser,,Disparaître,,Sauver,,Toujours,,Difficile,,Français,,Chanter,,Gagner,,Voix,,Cesser,,Boîte,,Espèce,,Envoyer,,
13,sexe,Homme,age,25,Pareil,ʒɥw,Tranquille,ʒ∫ɥg,Heure,ɥk,Travailler,,Bleu,,Merci,,Choisir,,Peur,,Ombre,,Glisser,,Disparaître,,Sauver,,Toujours,,Difficile,,Français,,Chanter,,Gagner,,Voix,,Cesser,,Boîte,,Espèce,,Envoyer,,
14,sexe,Homme,age,25,Pareil,ʒɥw,Tranquille,ʒ∫ɥg,Heure,ɥk,Travailler,,Bleu,,Merci,,Choisir,,Peur,,Ombre,,Glisser,,Disparaître,,Sauver,,Toujours,,Difficile,,Français,,Chanter,,Gagner,,Voix,,Cesser,,Boîte,,Espèce,,Envoyer,,
15,sexe,Homme,age,25,Pareil,ʒɥw,Tranquille,ʒ∫ɥg,Heure,ɥk,Travailler,,Bleu,,Merci,,Choisir,,Peur,,Ombre,,Glisser,,Disparaître,,Sauver,,Toujours,,Difficile,,Français,,Chanter,,Gagner,,Voix,,Cesser,,Boîte,,Espèce,,Envoyer,,
16,sexe,Homme,age,25,Pareil,ʒɥw,Tranquille,ʒ∫ɥg,Heure,ɥk,Travailler,,Bleu,,Merci,,Choisir,,Peur,,Ombre,,Glisser,,Disparaître,,Sauver,,Toujours,,Difficile,,Français,,Chanter,,Gagner,,Voix,,Cesser,,Boîte,,Espèce,,Envoyer,,
17,sexe,Homme,age,25,Pareil,ʒɥw,Tranquille,ʒ∫ɥg,Heure,ɥk,Travailler,,Bleu,,Merci,,Choisir,,Peur,,Ombre,,Glisser,,Disparaître,,Sauver,,Toujours,,Difficile,,Français,,Chanter,,Gagner,,Voix,,Cesser,,Boîte,,Espèce,,Envoyer,,
18,sexe,Homme,age,25,Heure,ɥk,Gagner,,Pareil,∫ɥw,Cesser,lwɛ,Français,,Envoyer,,Chanter,,Glisser,,Choisir,,Travailler,,Toujours,,Peur,,Ombre,,Sauver,,Bleu,,Tranquille,,Disparaître,,Voix,,Difficile,,Boîte,,Espèce,,Merci,,
19,sexe,Homme,age,25,Heure,ɥk,Gagner,,Pareil,∫ɥw,Cesser,lwɛ,Français,,Envoyer,,Chanter,,Glisser,,Choisir,,Travailler,,Toujours,,Peur,,Ombre,,Sauver,,Bleu,,Tranquille,,Disparaître,,Voix,,Difficile,,Boîte,,Espèce,,Merci,,
20,sexe,Homme,age,25,Heure,ɥk,Gagner,,Pareil,∫ɥw,Cesser,lwɛ,Français,,Envoyer,,Chanter,,Glisser,,Choisir,,Travailler,,Toujours,,Peur,,Ombre,,Sauver,,Bleu,,Tranquille,,Disparaître,,Voix,,Difficile,,Boîte,,Espèce,,Merci,,
21,sexe,Homme,age,25,Heure,ɥk,Gagner,,Pareil,∫ɥw,Cesser,lwɛ,Français,,Envoyer,,Chanter,,Glisser,,Choisir,,Travailler,,Toujours,,Peur,,Ombre,,Sauver,,Bleu,,Tranquille,,Disparaître,,Voix,,Difficile,,Boîte,,Espèce,,Merci,,
22,sexe,Homme,age,25,Heure,ɥk,Gagner,,Pareil,∫ɥw,Cesser,lwɛ,Français,,Envoyer,,Chanter,,Glisser,,Choisir,,Travailler,,Toujours,,Peur,,Ombre,,Sauver,,Bleu,,Tranquille,,Disparaître,,Voix,,Difficile,,Boîte,,Espèce,,Merci,,
23,sexe,Homme,age,25,Heure,ɥk,Gagner,,Pareil,∫ɥw,Cesser,lwɛ,Français,,Envoyer,,Chanter,,Glisser,,Choisir,,Travailler,,Toujours,,Peur,,Ombre,,Sauver,,Bleu,,Tranquille,,Disparaître,,Voix,,Difficile,,Boîte,,Espèce,,Merci,,
24,sexe,Homme,age,25,Heure,ɥk,Gagner,,Pareil,∫ɥw,Cesser,lwɛ,Français,,Envoyer,,Chanter,,Glisser,,Choisir,,Travailler,,Toujours,,Peur,,Ombre,,Sauver,,Bleu,,Tranquille,,Disparaître,,Voix,,Difficile,,Boîte,,Espèce,,Merci,,
25,sexe,Homme,age,25,Heure,ɥk,Gagner,,Pareil,∫ɥw,Cesser,lwɛ,Français,,Envoyer,,Chanter,,Glisser,,Choisir,,Travailler,,Toujours,,Peur,,Ombre,,Sauver,,Bleu,,Tranquille,,Disparaître,,Voix,,Difficile,,Boîte,,Espèce,,Merci,,
26,sexe,Homme,age,25,Français,∫fvs,Travailler,ʒ∫ɥ,Gagner,,Ombre,,Envoyer,,Tranquille,,Bleu,,Choisir,,Disparaître,,Voix,,Peur,,Espèce,,Glisser,,Cesser,,Merci,,Sauver,,Difficile,,Chanter,,Toujours,,Heure,,Boîte,,Pareil,,
27,sexe,Homme,age,25,Français,∫fvs,Travailler,ʒ∫ɥ,Gagner,,Ombre,,Envoyer,,Tranquille,,Bleu,,Choisir,,Disparaître,,Voix,,Peur,,Espèce,,Glisser,,Cesser,,Merci,,Sauver,,Difficile,,Chanter,,Toujours,,Heure,,Boîte,,Pareil,,
28,sexe,Homme,age,25,Français,∫fvs,Travailler,ʒ∫ɥ,Gagner,,Ombre,,Envoyer,,Tranquille,,Bleu,,Choisir,,Disparaître,,Voix,,Peur,,Espèce,,Glisser,,Cesser,,Merci,,Sauver,,Difficile,,Chanter,,Toujours,,Heure,,Boîte,,Pareil,,
29,sexe,Homme,age,25,Français,∫fvs,Travailler,ʒ∫ɥ,Gagner,,Ombre,,Envoyer,,Tranquille,,Bleu,,Choisir,,Disparaître,,Voix,,Peur,,Espèce,,Glisser,,Cesser,,Merci,,Sauver,,Difficile,,Chanter,,Toujours,,Heure,,Boîte,,Pareil,,
